game_id,shooting_result,num_shots,coi,mean_radius,std,threshold,skill_level
20250101-dc477ea7-f3a5-42b2-89a1-a492eff04601,"[ShootingResult(nth=1, score=9.2, time=1.4, pointX=0.414513, pointY=0.52247, distance=2598, color='red'), ShootingResult(nth=2, score=9.9, time=6.2, pointX=0.514495, pointY=0.448585, distance=2597, color='red'), ShootingResult(nth=3, score=9.8, time=8.4, pointX=0.460161, pointY=0.460672, distance=2592, color='red'), ShootingResult(nth=4, score=8.6, time=7.3, pointX=0.464366, pointY=0.385265, distance=2596, color='orange'), ShootingResult(nth=5, score=9.7, time=6.0, pointX=0.475167, pointY=0.558346, distance=2594, color='red'), ShootingResult(nth=6, score=9.5, time=5.7, pointX=0.514668, pointY=0.42635, distance=2595, color='red'), ShootingResult(nth=7, score=10.2, time=15.4, pointX=0.50333, pointY=0.458908, distance=2594, color='red'), ShootingResult(nth=8, score=8.4, time=7.7, pointX=0.486663, pointY=0.370337, distance=2595, color='orange'), ShootingResult(nth=9, score=9.7, time=7.3, pointX=0.441468, pointY=0.472602, distance=2599, color='red'), ShootingResult(nth=10, score=9.5, time=6.6, pointX=0.514668, pointY=0.42635, distance=2599, color='red')]",10,"[0.480915, 0.4537465]",0.05639008008708814,"[0.032566748073610305, 0.054095287007742174]",0.027903448023578338,입문
20250101-3d449ecb-535c-4e01-b23d-506653a83c87,"[ShootingResult(nth=1, score=6.5, time=3.7, pointX=0.643259, pointY=0.673203, distance=2606, color='green'), ShootingResult(nth=2, score=9.6, time=6.7, pointX=0.433844, pointY=0.478505, distance=2604, color='red'), ShootingResult(nth=3, score=4.3, time=7.3, pointX=0.159212, pointY=0.500953, distance=2607, color='green'), ShootingResult(nth=4, score=6.8, time=8.2, pointX=0.290465, pointY=0.522256, distance=2607, color='green'), ShootingResult(nth=5, score=5.9, time=4.4, pointX=0.378437, pointY=0.273418, distance=2602, color='green'), ShootingResult(nth=6, score=4.0, time=3.7, pointX=0.17573, pointY=0.347763, distance=2601, color='green'), ShootingResult(nth=7, score=7.3, time=3.6, pointX=0.320956, pointY=0.456798, distance=2601, color='orange'), ShootingResult(nth=8, score=9.6, time=5.8, pointX=0.492294, pointY=0.431081, distance=2602, color='red'), ShootingResult(nth=9, score=5.5, time=5.0, pointX=0.241904, pointY=0.604523, distance=2602, color='green'), ShootingResult(nth=10, score=9.0, time=6.3, pointX=0.463593, pointY=0.406341, distance=2604, color='red')]",10,"[0.3496965, 0.4676515]",0.16062799788398618,"[0.14451269574968145, 0.11066804620978]",0.07437909715080507,입문
20250101-5d03cabc-b54e-44aa-abf8-9df335ebf14b,"[ShootingResult(nth=1, score=7.8, time=6.9, pointX=0.45201, pointY=0.347037, distance=2610, color='orange'), ShootingResult(nth=2, score=6.6, time=4.7, pointX=0.34763, pointY=0.340721, distance=2605, color='green'), ShootingResult(nth=3, score=7.7, time=5.6, pointX=0.446313, pointY=0.341376, distance=2602, color='orange'), ShootingResult(nth=4, score=7.0, time=6.7, pointX=0.365394, pointY=0.649457, distance=2604, color='orange'), ShootingResult(nth=5, score=4.2, time=9.0, pointX=0.183608, pointY=0.35958, distance=2603, color='green'), ShootingResult(nth=6, score=9.8, time=11.5, pointX=0.475963, pointY=0.449186, distance=2602, color='red'), ShootingResult(nth=7, score=8.5, time=5.6, pointX=0.397202, pointY=0.428789, distance=2601, color='orange'), ShootingResult(nth=8, score=6.6, time=5.6, pointX=0.332526, pointY=0.353318, distance=2604, color='green'), ShootingResult(nth=9, score=9.4, time=4.3, pointX=0.572093, pointY=0.524178, distance=2602, color='red'), ShootingResult(nth=10, score=5.1, time=5.0, pointX=0.505675, pointY=0.198181, distance=2604, color='green')]",10,"[0.4217575, 0.356449]",0.13503013184085733,"[0.10301208737444359, 0.116271277703524]",0.04605172756661395,입문
20250101-86d8a0f8-2152-4029-888d-dbfdc2384ec3,"[ShootingResult(nth=1, score=8.1, time=4.8, pointX=0.474613, pointY=0.355743, distance=2603, color='orange'), ShootingResult(nth=2, score=7.1, time=4.8, pointX=0.624256, pointY=0.345266, distance=2605, color='orange'), ShootingResult(nth=3, score=5.7, time=4.2, pointX=0.575383, pointY=0.241683, distance=2602, color='green'), ShootingResult(nth=4, score=10.1, time=3.9, pointX=0.465645, pointY=0.53, distance=2603, color='red'), ShootingResult(nth=5, score=7.6, time=6.1, pointX=0.442153, pointY=0.660189, distance=2605, color='orange'), ShootingResult(nth=6, score=3.0, time=5.5, pointX=0.37755, pointY=0.889146, distance=2603, color='blue'), ShootingResult(nth=7, score=7.3, time=4.9, pointX=0.317859, pointY=0.52718, distance=2601, color='orange'), ShootingResult(nth=8, score=7.7, time=5.4, pointX=0.430172, pointY=0.349868, distance=2603, color='orange'), ShootingResult(nth=9, score=7.8, time=4.7, pointX=0.372519, pointY=0.601168, distance=2603, color='orange'), ShootingResult(nth=10, score=6.8, time=7.1, pointX=0.368346, pointY=0.333152, distance=2602, color='green')]",10,"[0.4361625, 0.44146149999999995]",0.18499403360658948,"[0.09083336516302808, 0.1865613456427939]",0.08173573594841557,입문
20250101-af59ade2-b543-4148-ae5e-fc6f2d67fb38,"[ShootingResult(nth=1, score=9.7, time=5.9, pointX=0.438751, pointY=0.493327, distance=2603, color='red'), ShootingResult(nth=2, score=9.8, time=4.6, pointX=0.450823, pointY=0.466938, distance=2603, color='red'), ShootingResult(nth=3, score=8.6, time=5.3, pointX=0.379538, pointY=0.502842, distance=2605, color='orange'), ShootingResult(nth=4, score=9.6, time=4.4, pointX=0.486799, pointY=0.431669, distance=2604, color='red'), ShootingResult(nth=5, score=9.5, time=5.2, pointX=0.449497, pointY=0.449834, distance=2605, color='red'), ShootingResult(nth=6, score=8.6, time=6.6, pointX=0.481033, pointY=0.383675, distance=2604, color='orange'), ShootingResult(nth=7, score=8.8, time=5.5, pointX=0.543594, pointY=0.402241, distance=2607, color='orange'), ShootingResult(nth=8, score=7.0, time=5.4, pointX=0.300607, pointY=0.522332, distance=2606, color='orange'), ShootingResult(nth=9, score=9.7, time=4.0, pointX=0.475964, pointY=0.443618, distance=2605, color='red'), ShootingResult(nth=10, score=9.4, time=7.2, pointX=0.465321, pointY=0.427473, distance=2604, color='red')]",10,"[0.458072, 0.446726]",0.05869066720076825,"[0.06270385599155764, 0.04206559280088658]",0.009627556484786665,입문
20250101-d86eb7fa-fc97-48a8-b2ca-5f8d210f84ac,"[ShootingResult(nth=1, score=9.4, time=2.7, pointX=0.54178, pointY=0.433198, distance=2606, color='red'), ShootingResult(nth=2, score=10.7, time=11.9, pointX=0.503503, pointY=0.479491, distance=2603, color='red'), ShootingResult(nth=3, score=9.7, time=6.9, pointX=0.450398, pointY=0.539891, distance=2608, color='red'), ShootingResult(nth=4, score=4.1, time=8.9, pointX=0.758038, pointY=0.259049, distance=2603, color='green'), ShootingResult(nth=5, score=6.4, time=6.2, pointX=0.367063, pointY=0.308376, distance=2604, color='green'), ShootingResult(nth=6, score=7.7, time=6.9, pointX=0.481172, pointY=0.335787, distance=2600, color='orange'), ShootingResult(nth=7, score=9.8, time=16.8, pointX=0.447253, pointY=0.518378, distance=2603, color='red'), ShootingResult(nth=8, score=8.6, time=6.1, pointX=0.554648, pointY=0.391768, distance=2606, color='orange'), ShootingResult(nth=9, score=9.0, time=8.9, pointX=0.521234, pointY=0.405854, distance=2603, color='red'), ShootingResult(nth=10, score=10.7, time=7.6, pointX=0.484768, pointY=0.51664, distance=2602, color='red')]",10,"[0.4941355, 0.419526]",0.11046488456349797,"[0.09699135902651329, 0.09140321825493894]",0.03402028522892711,입문
20250101-4eb54d0c-9f7c-4f27-a666-d7d864fcce35,"[ShootingResult(nth=1, score=9.3, time=0.2, pointX=0.513353, pointY=0.58178, distance=2603, color='red'), ShootingResult(nth=2, score=9.0, time=7.4, pointX=0.406136, pointY=0.528357, distance=2603, color='red'), ShootingResult(nth=3, score=7.8, time=8.2, pointX=0.588915, pointY=0.369134, distance=2601, color='orange'), ShootingResult(nth=4, score=9.0, time=5.7, pointX=0.406136, pointY=0.528357, distance=2602, color='red'), ShootingResult(nth=5, score=7.7, time=6.6, pointX=0.599317, pointY=0.370416, distance=2600, color='orange'), ShootingResult(nth=6, score=6.4, time=15.0, pointX=0.291377, pointY=0.401455, distance=2606, color='green'), ShootingResult(nth=7, score=7.7, time=7.9, pointX=0.387903, pointY=0.376133, distance=2605, color='orange'), ShootingResult(nth=8, score=5.4, time=10.0, pointX=0.238781, pointY=0.394756, distance=2604, color='green'), ShootingResult(nth=9, score=9.1, time=16.0, pointX=0.405212, pointY=0.503048, distance=2605, color='red'), ShootingResult(nth=10, score=3.6, time=16.8, pointX=0.524781, pointY=0.122811, distance=2607, color='blue')]",10,"[0.406136, 0.3981055]",0.15688648617330544,"[0.11347982751436486, 0.12359955990378767]",0.08742094707697919,입문
20250101-e94087ab-8267-4bb3-b7fe-cafcb7431636,"[ShootingResult(nth=1, score=8.4, time=3.3, pointX=0.481142, pointY=0.372315, distance=2602, color='orange'), ShootingResult(nth=2, score=9.2, time=3.9, pointX=0.474933, pointY=0.585642, distance=2603, color='red'), ShootingResult(nth=3, score=10.2, time=3.5, pointX=0.470826, pointY=0.471509, distance=2607, color='red'), ShootingResult(nth=4, score=8.8, time=6.4, pointX=0.417015, pointY=0.433158, distance=2603, color='orange'), ShootingResult(nth=5, score=10.0, time=4.8, pointX=0.465494, pointY=0.46609, distance=2605, color='red'), ShootingResult(nth=6, score=10.2, time=6.5, pointX=0.491388, pointY=0.538016, distance=2605, color='red'), ShootingResult(nth=7, score=10.0, time=7.9, pointX=0.453157, pointY=0.498351, distance=2604, color='red'), ShootingResult(nth=8, score=7.1, time=7.8, pointX=0.684122, pointY=0.425707, distance=2604, color='orange'), ShootingResult(nth=9, score=7.5, time=7.5, pointX=0.452006, pointY=0.329089, distance=2603, color='orange'), ShootingResult(nth=10, score=8.8, time=4.9, pointX=0.561016, pointY=0.590153, distance=2604, color='orange')]",10,"[0.4728795, 0.46879950000000004]",0.0905243969264596,"[0.072020042195836, 0.08121868509154774]",0.02658895336499839,입문
20250101-aad7fffc-05bf-4d7f-9644-488af25d15ff,"[ShootingResult(nth=1, score=9.0, time=5.7, pointX=0.442741, pointY=0.420703, distance=2601, color='red'), ShootingResult(nth=2, score=10.0, time=5.7, pointX=0.453446, pointY=0.50818, distance=2601, color='red'), ShootingResult(nth=3, score=7.7, time=4.9, pointX=0.583954, pointY=0.356741, distance=2605, color='orange'), ShootingResult(nth=4, score=7.8, time=4.6, pointX=0.510234, pointY=0.340579, distance=2602, color='orange'), ShootingResult(nth=5, score=9.2, time=4.6, pointX=0.585702, pointY=0.494548, distance=2605, color='red'), ShootingResult(nth=6, score=8.5, time=3.4, pointX=0.617047, pointY=0.453005, distance=2604, color='orange'), ShootingResult(nth=7, score=7.6, time=6.1, pointX=0.335994, pointY=0.461956, distance=2605, color='orange'), ShootingResult(nth=8, score=6.9, time=7.2, pointX=0.581964, pointY=0.308909, distance=2606, color='green'), ShootingResult(nth=9, score=6.9, time=4.4, pointX=0.294435, pointY=0.497038, distance=2604, color='green'), ShootingResult(nth=10, score=9.4, time=3.6, pointX=0.486881, pointY=0.420497, distance=2605, color='red')]",10,"[0.4985575, 0.43685399999999996]",0.11307986348158172,"[0.10417822880026324, 0.06662028001772433]",0.0610769344444896,입문
20250101-a714afdb-1cc8-4b0c-8e7e-5a6e376cea3c,"[ShootingResult(nth=1, score=9.6, time=2.6, pointX=0.475955, pointY=0.438002, distance=2604, color='red'), ShootingResult(nth=2, score=8.1, time=3.8, pointX=0.597579, pointY=0.605662, distance=2603, color='orange'), ShootingResult(nth=3, score=9.5, time=4.0, pointX=0.531183, pointY=0.432336, distance=2602, color='red'), ShootingResult(nth=4, score=8.8, time=3.6, pointX=0.400134, pointY=0.538785, distance=2603, color='orange'), ShootingResult(nth=5, score=8.5, time=3.0, pointX=0.431696, pointY=0.398253, distance=2602, color='orange'), ShootingResult(nth=6, score=9.0, time=3.3, pointX=0.432359, pointY=0.426923, distance=2606, color='red'), ShootingResult(nth=7, score=8.1, time=3.4, pointX=0.363979, pointY=0.446029, distance=2604, color='orange'), ShootingResult(nth=8, score=8.5, time=3.2, pointX=0.389973, pointY=0.446345, distance=2603, color='orange'), ShootingResult(nth=9, score=8.4, time=3.1, pointX=0.518698, pointY=0.627242, distance=2607, color='orange'), ShootingResult(nth=10, score=9.5, time=4.2, pointX=0.497935, pointY=0.424742, distance=2604, color='red')]",10,"[0.45415700000000003, 0.4420155]",0.09017363043225642,"[0.06946295465850844, 0.07731610112059453]",0.02619209131028126,입문
